number,value,datetime_start,datetime_complete,duration,params_dropout,params_embDim,params_hiddenDim,params_learningRate,params_teacherForcingDecay,params_tokenizationMethod,params_vocabSize,user_attrs_exemplesTraduction,user_attrs_resourceConstructionSeconds,user_attrs_tokenizationConfig,user_attrs_vocabSizeObtained,state,durationSeconds
10,0.06493601887791874,2026-09-11 12:15:23.452397,2026-09-11 12:19:19.849947,0 days 00:03:56.397550,0.0,256,1024,0.004760771731716598,0.99,unigram,4840,,16.450917200010736,unigram4840,4840,PRUNED,236.39755
11,0.07148809355994229,2026-09-11 12:19:19.941771,2026-09-11 12:25:23.316248,0 days 00:06:03.374477,0.30000000000000004,128,768,0.0028179669438212892,1.0,unigram,5285,,16.562405599979684,unigram5285,5285,PRUNED,363.374477
12,0.022197635586600546,2026-09-11 12:25:23.409453,2026-09-11 12:27:17.722558,0 days 00:01:54.313105,0.30000000000000004,128,256,0.004241671436219256,0.8999999999999999,unigram,7411,,16.527659700019285,unigram7411,7411,PRUNED,114.313105
13,1.0473868722543425,2026-09-11 12:27:17.837645,2026-09-11 12:40:59.519550,0 days 00:13:41.681905,0.30000000000000004,256,1024,0.002647311660645719,0.87,unigram,6169,"[{'source': 'il se peut que le bonheur qui nous attend là-bas ne soit pas du tout le genre de bonheur que nous voudrions', 'hypothese': ""he 's the"", 'reference': 'it may be that the happiness awaiting us is not at all the sort of happiness we would want'}, {'source': ""c' est dommage quand quelqu'un meurt"", 'hypothese': ""he 's the"", 'reference': ""it 's a pity when somebody dies""}, {'source': 'je ne peux pas réfléchir avec ce bruit dit-elle en fixant des yeux la machine à écrire', 'hypothese': ""he 's the"", 'reference': ""i ca n't think with that noise she said as she stared at the typewriter""}]",16.74418240005616,unigram6169,6169,COMPLETE,821.681905
14,0.05747084121027889,2026-09-11 12:40:59.551069,2026-09-11 12:45:23.023384,0 days 00:04:23.472315,0.05,256,1024,0.002361730067501196,0.95,unigram,5090,,16.948202800005674,unigram5090,5090,PRUNED,263.472315
15,0.19611110970831674,2026-09-11 12:45:23.113929,2026-09-11 12:49:57.776154,0 days 00:04:34.662225,0.30000000000000004,256,1024,0.0016404407384939075,0.8999999999999999,unigram,5600,,16.645780500024557,unigram5600,5600,PRUNED,274.662225
16,0.1878284007313526,2026-09-11 12:49:57.888284,2026-09-11 12:53:47.976487,0 days 00:03:50.088203,0.25,256,1024,0.0037452903738760526,0.7,unigram,4400,,16.78716110001551,unigram4400,4400,PRUNED,230.088203
17,0.06306556419259564,2026-09-11 12:53:48.061418,2026-09-11 12:58:51.475475,0 days 00:05:03.414057,0.05,256,1024,0.0028084181073250994,0.77,unigram,6987,,16.41665720002493,unigram6987,6987,PRUNED,303.414057
18,0.08266819725297837,2026-09-11 12:58:51.573840,2026-09-11 13:03:30.641637,0 days 00:04:39.067797,0.1,256,1024,0.002246604876505219,0.97,unigram,5828,,16.530884700012393,unigram5828,5828,PRUNED,279.067797
19,0.18964584764919712,2026-09-11 13:03:30.741040,2026-09-11 13:07:18.548008,0 days 00:03:47.806968,0.35000000000000003,256,768,0.0010388728149751149,0.8999999999999999,unigram,6777,,16.612384099978954,unigram6777,6777,PRUNED,227.806968
20,1.0188263514191813,2026-09-11 13:07:18.637187,2026-09-11 13:22:22.289354,0 days 00:15:03.652167,0.5,256,512,0.0017491217620714235,0.9199999999999999,unigram,7976,"[{'source': 'il se peut que le bonheur qui nous attend là-bas ne soit pas du tout le genre de bonheur que nous voudrions', 'hypothese': ""you 're supposed to find the map of the"", 'reference': 'it may be that the happiness awaiting us is not at all the sort of happiness we would want'}, {'source': ""c' est dommage quand quelqu'un meurt"", 'hypothese': ""you 're supposed to find the map of the"", 'reference': ""it 's a pity when somebody dies""}, {'source': 'je ne peux pas réfléchir avec ce bruit dit-elle en fixant des yeux la machine à écrire', 'hypothese': ""i do n't have to go to the party"", 'reference': ""i ca n't think with that noise she said as she stared at the typewriter""}]",16.580601900001056,unigram7976,7976,COMPLETE,903.652167
21,0.1973886171275539,2026-09-11 13:22:22.322456,2026-09-11 13:25:26.659383,0 days 00:03:04.336927,0.5,256,512,0.001596946480577037,0.9099999999999999,unigram,7842,,16.51051200000802,unigram7842,7842,PRUNED,184.336927
22,0.14366203036507133,2026-09-11 13:25:26.754757,2026-09-11 13:28:24.392128,0 days 00:02:57.637371,0.4,256,512,0.001905627788833685,0.83,unigram,7340,,16.578100299986545,unigram7340,7340,PRUNED,177.637371
23,0.2187618191554067,2026-09-11 13:28:24.481489,2026-09-11 13:33:14.797578,0 days 00:04:50.316089,0.25,256,512,0.0025506408227485523,0.8799999999999999,unigram,6626,,24.04610929999035,unigram6626,6626,PRUNED,290.316089
24,0.08292165893957372,2026-09-11 13:33:14.907817,2026-09-11 13:37:42.756250,0 days 00:04:27.848433,0.5,256,512,0.003247790361904009,0.94,unigram,5779,,30.03864699997939,unigram5779,5779,PRUNED,267.848433
25,0.13333466872224597,2026-09-11 13:37:42.874356,2026-09-11 13:45:28.649073,0 days 00:07:45.774717,0.45,256,1024,0.0015472230210714871,0.97,unigram,7438,,30.091659900033846,unigram7438,7438,PRUNED,465.774717
26,0.0732568976485478,2026-09-11 13:45:28.743990,2026-09-11 13:51:08.676716,0 days 00:05:39.932726,0.35000000000000003,256,1024,0.0021150360023715546,0.9199999999999999,unigram,7953,,16.52392410003813,unigram7953,7953,PRUNED,339.932726
27,0.41725485572176246,2026-09-11 13:51:08.771660,2026-09-11 13:57:06.854961,0 days 00:05:58.083301,0.2,256,512,0.002562775670775292,0.97,unigram,4507,"[{'source': 'il se peut que le bonheur qui nous attend là-bas ne soit pas du tout le genre de bonheur que nous voudrions', 'hypothese': ""i 'm not a bad mood"", 'reference': 'it may be that the happiness awaiting us is not at all the sort of happiness we would want'}, {'source': ""c' est dommage quand quelqu'un meurt"", 'hypothese': ""i 'm taking a vacation"", 'reference': ""it 's a pity when somebody dies""}, {'source': 'je ne peux pas réfléchir avec ce bruit dit-elle en fixant des yeux la machine à écrire', 'hypothese': ""i 'm taking a vacation"", 'reference': ""i ca n't think with that noise she said as she stared at the typewriter""}]",16.836566199955996,unigram4507,4507,COMPLETE,358.083301
28,0.21586402513609235,2026-09-11 13:57:06.890287,2026-09-11 14:01:09.319755,0 days 00:04:02.429468,0.1,256,768,0.0018517870441951837,0.8799999999999999,unigram,6464,,16.65903989999788,unigram6464,6464,PRUNED,242.429468
29,0.4244314357252409,2026-09-11 14:01:09.416036,2026-09-11 14:14:30.526911,0 days 00:13:21.110875,0.45,256,512,0.001412026932021395,0.8099999999999999,bpe,7062,"[{'source': 'il se peut que le bonheur qui nous attend là-bas ne soit pas du tout le genre de bonheur que nous voudrions', 'hypothese': ""i 'm't like to see you"", 'reference': 'it may be that the happiness awaiting us is not at all the sort of happiness we would want'}, {'source': ""c' est dommage quand quelqu'un meurt"", 'hypothese': ""i 'm't like to see you"", 'reference': ""it 's a pity when somebody dies""}, {'source': 'je ne peux pas réfléchir avec ce bruit dit-elle en fixant des yeux la machine à écrire', 'hypothese': ""i 'm't like to see you"", 'reference': ""i ca n't think with that noise she said as she stared at the typewriter""}]",9.47978300001705,bpe7062,7062,COMPLETE,801.110875
30,0.10715342687619415,2026-09-11 14:14:30.556246,2026-09-11 14:18:49.092793,0 days 00:04:18.536547,0.35000000000000003,256,1024,0.003913100400358187,0.83,unigram,5403,,16.947256000014022,unigram5403,5403,PRUNED,258.536547
31,0.08881015196310364,2026-09-11 14:18:49.195014,2026-09-11 14:20:30.591883,0 days 00:01:41.396869,0.4,128,256,0.002829534877398826,0.86,unigram,6219,,16.49708850000752,unigram6219,6219,PRUNED,101.396869
32,0.0740267468179445,2026-09-11 14:20:30.684223,2026-09-11 14:22:04.149028,0 days 00:01:33.464805,0.45,128,256,0.0030576336635828147,0.84,unigram,5890,,16.24520800000755,unigram5890,5890,PRUNED,93.464805
33,0.19572755397131825,2026-09-11 14:22:04.237086,2026-09-11 14:23:43.439203,0 days 00:01:39.202117,0.5,128,256,0.002503390425516264,0.87,unigram,6350,,16.76312510005664,unigram6350,6350,PRUNED,99.202117
34,0.23537377546817248,2026-09-11 14:23:43.565557,2026-09-11 14:25:28.912672,0 days 00:01:45.347115,0.4,128,256,0.002188445578654801,0.8099999999999999,unigram,6664,,16.64806909998879,unigram6664,6664,PRUNED,105.347115
35,0.3005968294126285,2026-09-11 14:25:28.999764,2026-09-11 14:30:29.584734,0 days 00:05:00.584970,0.45,128,1024,0.003047230356966671,0.84,bpe,7538,,5.341113300004508,bpe7538,7538,PRUNED,300.58497
36,0.15141589948138362,2026-09-11 14:30:29.679651,2026-09-11 14:33:11.105942,0 days 00:02:41.426291,0.35000000000000003,256,768,0.002422424090609212,0.7799999999999999,unigram,4011,,16.725328300031833,unigram4011,4011,PRUNED,161.426291
37,0.20365457522211403,2026-09-11 14:33:11.200798,2026-09-11 14:35:24.998113,0 days 00:02:13.797315,0.25,128,512,0.0019687580857913767,0.75,bpe,6093,,5.361349500017241,bpe6093,6093,PRUNED,133.797315
38,0.16569951985262688,2026-09-11 14:35:25.095617,2026-09-11 14:36:35.201688,0 days 00:01:10.106071,0.2,256,256,0.003680789221065637,0.8799999999999999,unigram,2635,,16.790361699997447,unigram2635,2635,PRUNED,70.106071
39,0.07269674561941682,2026-09-11 14:36:35.287646,2026-09-11 14:41:19.898808,0 days 00:04:44.611162,0.15000000000000002,128,1024,0.002737962103977799,0.9299999999999999,bpe,7053,,5.516510700050276,bpe7053,7053,PRUNED,284.611162
